id,payment_method,payment_from,payment_to,amount,status,updated_at
240,UPI,80,134,20457,Failed,2022-12-06 12:40:14
241,UPI,81,139,762176,Failed,2022-12-06 12:40:14
242,UPI,81,67,371813,Failed,2022-12-06 12:40:14
243,UPI,81,6,117134,Failed,2022-12-06 12:40:14
244,UPI,82,49,236040,Failed,2022-12-06 12:40:14
245,UPI,82,72,553733,Failed,2022-12-06 12:40:14
246,UPI,82,183,80214,Failed,2022-12-06 12:40:14
247,UPI,83,135,540899,Failed,2022-12-06 12:40:14
248,UPI,83,157,370422,Failed,2022-12-06 12:40:14
249,UPI,83,123,714937,Failed,2022-12-06 12:40:14
250,UPI,84,151,153861,Failed,2022-12-06 12:40:14
251,UPI,84,145,999100,Failed,2022-12-06 12:40:14
252,UPI,84,50,174376,Failed,2022-12-06 12:40:14
253,UPI,85,162,657868,Failed,2022-12-06 12:40:14
254,UPI,85,67,474521,Failed,2022-12-06 12:40:14
255,UPI,85,11,163570,Failed,2022-12-06 12:40:14
256,UPI,86,116,571093,Failed,2022-12-06 12:40:14
257,UPI,86,167,440925,Failed,2022-12-06 12:40:14
258,UPI,86,130,529934,Failed,2022-12-06 12:40:14
259,UPI,87,77,42062,Failed,2022-12-06 12:40:14
260,UPI,87,68,420509,Failed,2022-12-06 12:40:14
261,UPI,87,157,9828,Failed,2022-12-06 12:40:14
262,UPI,88,92,768414,Failed,2022-12-06 12:40:14
263,UPI,88,108,478504,Failed,2022-12-06 12:40:14
264,UPI,88,46,673136,Failed,2022-12-06 12:40:14
265,UPI,89,129,51840,Failed,2022-12-06 12:40:14
266,UPI,89,95,572711,Failed,2022-12-06 12:40:14
267,UPI,89,31,412568,Failed,2022-12-06 12:40:14
268,UPI,90,15,665994,Failed,2022-12-06 12:40:14
269,UPI,90,55,497252,Failed,2022-12-06 12:40:14
270,UPI,90,134,146232,Failed,2022-12-06 12:40:14
271,UPI,91,149,834454,Failed,2022-12-06 12:40:14
272,UPI,91,66,59401,Failed,2022-12-06 12:40:14
273,UPI,91,154,285966,Failed,2022-12-06 12:40:14
274,UPI,92,170,357018,Failed,2022-12-06 12:40:14
275,UPI,92,43,879345,Failed,2022-12-06 12:40:14
276,UPI,92,39,498228,Failed,2022-12-06 12:40:14
277,UPI,93,111,417647,Failed,2022-12-06 12:40:14
278,UPI,93,165,854521,Failed,2022-12-06 12:40:14
279,UPI,93,90,39240,Failed,2022-12-06 12:40:14
280,UPI,94,167,104062,Failed,2022-12-06 12:40:14
281,UPI,94,22,999821,Failed,2022-12-06 12:40:14
282,UPI,94,67,307196,Failed,2022-12-06 12:40:14
283,UPI,95,23,593897,Failed,2022-12-06 12:40:14
284,UPI,95,140,74373,Failed,2022-12-06 12:40:14
285,UPI,95,146,895516,Failed,2022-12-06 12:40:14
286,UPI,96,48,943885,Failed,2022-12-06 12:40:14
287,UPI,96,151,517461,Failed,2022-12-06 12:40:14
288,UPI,96,160,34995,Failed,2022-12-06 12:40:14
289,UPI,97,140,657007,Failed,2022-12-06 12:40:14
290,UPI,97,175,192298,Failed,2022-12-06 12:40:14
291,UPI,97,103,539740,Failed,2022-12-06 12:40:14
292,UPI,98,200,680082,Failed,2022-12-06 12:40:14
293,UPI,98,75,205294,Failed,2022-12-06 12:40:14
294,UPI,98,2,105846,Failed,2022-12-06 12:40:14
295,UPI,99,55,440122,Failed,2022-12-06 12:40:14
296,UPI,99,110,702724,Failed,2022-12-06 12:40:14
297,UPI,99,31,15914,Failed,2022-12-06 12:40:14
298,UPI,100,132,866451,Failed,2022-12-06 12:40:14
299,UPI,100,183,862673,Failed,2022-12-06 12:40:14
300,UPI,100,161,919630,Failed,2022-12-06 12:40:14
301,UPI,101,197,474825,Failed,2022-12-06 12:40:14
302,UPI,101,49,266296,Failed,2022-12-06 12:40:14
303,UPI,101,56,195859,Failed,2022-12-06 12:40:14
304,UPI,102,173,733136,Failed,2022-12-06 12:40:14
305,UPI,102,117,818580,Failed,2022-12-06 12:40:14
306,UPI,102,41,479416,Failed,2022-12-06 12:40:14
307,UPI,103,91,151896,Failed,2022-12-06 12:40:14
308,UPI,103,74,137778,Failed,2022-12-06 12:40:14
309,UPI,103,33,793019,Failed,2022-12-06 12:40:14
310,UPI,104,106,766421,Failed,2022-12-06 12:40:14
311,UPI,104,143,154856,Failed,2022-12-06 12:40:14
312,UPI,104,38,743361,Failed,2022-12-06 12:40:14
313,UPI,105,200,287825,Failed,2022-12-06 12:40:14
314,UPI,105,10,474121,Failed,2022-12-06 12:40:14
315,UPI,105,64,510645,Failed,2022-12-06 12:40:14
316,UPI,106,138,64638,Failed,2022-12-06 12:40:14
317,UPI,106,75,264191,Failed,2022-12-06 12:40:14
318,UPI,106,148,59889,Failed,2022-12-06 12:40:14
319,UPI,107,140,86222,Failed,2022-12-06 12:40:14
320,UPI,107,94,942298,Failed,2022-12-06 12:40:14
321,UPI,107,116,494946,Failed,2022-12-06 12:40:14
322,UPI,108,46,925793,Failed,2022-12-06 12:40:14
323,UPI,108,190,611105,Failed,2022-12-06 12:40:14
324,UPI,108,174,78291,Failed,2022-12-06 12:40:14
325,UPI,109,56,843148,Failed,2022-12-06 12:40:14
326,UPI,109,169,7484,Failed,2022-12-06 12:40:14
327,UPI,109,72,891397,Failed,2022-12-06 12:40:14
328,UPI,110,133,57818,Failed,2022-12-06 12:40:14
329,UPI,110,149,578938,Failed,2022-12-06 12:40:14
330,UPI,110,176,607344,Failed,2022-12-06 12:40:14
331,UPI,111,67,46197,Failed,2022-12-06 12:40:14
332,UPI,111,4,740879,Failed,2022-12-06 12:40:14
333,UPI,111,183,293828,Failed,2022-12-06 12:40:14
334,UPI,112,97,25759,Failed,2022-12-06 12:40:14
335,UPI,112,87,938250,Failed,2022-12-06 12:40:14
336,UPI,112,91,156676,Failed,2022-12-06 12:40:14
337,UPI,113,11,212526,Failed,2022-12-06 12:40:14
338,UPI,113,59,569392,Failed,2022-12-06 12:40:14
339,UPI,113,21,831802,Failed,2022-12-06 12:40:14
340,UPI,114,76,38779,Failed,2022-12-06 12:40:14
341,UPI,114,167,631430,Failed,2022-12-06 12:40:14
342,UPI,114,98,397673,Failed,2022-12-06 12:40:14
343,UPI,115,128,964543,Failed,2022-12-06 12:40:14
344,UPI,115,84,837973,Failed,2022-12-06 12:40:14
345,UPI,115,108,974023,Failed,2022-12-06 12:40:14
346,UPI,116,34,617187,Failed,2022-12-06 12:40:14
347,UPI,116,168,303870,Failed,2022-12-06 12:40:14
348,UPI,116,5,284072,Failed,2022-12-06 12:40:14
349,UPI,117,89,711578,Failed,2022-12-06 12:40:14
350,UPI,117,29,718502,Failed,2022-12-06 12:40:14
351,UPI,117,58,645864,Failed,2022-12-06 12:40:14
352,UPI,118,145,925014,Failed,2022-12-06 12:40:14
353,UPI,118,113,759568,Failed,2022-12-06 12:40:14
354,UPI,118,65,311150,Failed,2022-12-06 12:40:14
355,UPI,119,129,208956,Failed,2022-12-06 12:40:14
356,UPI,119,166,406478,Failed,2022-12-06 12:40:14
357,UPI,119,138,575959,Failed,2022-12-06 12:40:14
358,UPI,120,65,236987,Failed,2022-12-06 12:40:14
359,UPI,120,137,561738,Failed,2022-12-06 12:40:14
360,UPI,120,113,609918,Failed,2022-12-06 12:40:14
361,UPI,121,130,408521,Failed,2022-12-06 12:40:14
362,UPI,121,134,253631,Failed,2022-12-06 12:40:14
363,UPI,121,70,865806,Failed,2022-12-06 12:40:14
364,UPI,122,70,288014,Failed,2022-12-06 12:40:14
365,UPI,122,112,544076,Failed,2022-12-06 12:40:14
366,UPI,122,28,129687,Failed,2022-12-06 12:40:14
367,UPI,123,46,549529,Failed,2022-12-06 12:40:14
368,UPI,123,48,819920,Failed,2022-12-06 12:40:14
369,UPI,123,94,965723,Failed,2022-12-06 12:40:14
370,UPI,124,4,981073,Failed,2022-12-06 12:40:14
371,UPI,124,103,1155,Failed,2022-12-06 12:40:14
372,UPI,124,3,607381,Failed,2022-12-06 12:40:14
373,UPI,125,143,822398,Failed,2022-12-06 12:40:14
374,UPI,125,165,926712,Failed,2022-12-06 12:40:14
375,UPI,125,86,214429,Failed,2022-12-06 12:40:14
376,UPI,126,88,539339,Failed,2022-12-06 12:40:14
377,UPI,126,44,729987,Failed,2022-12-06 12:40:14
378,UPI,126,45,561032,Failed,2022-12-06 12:40:14
379,UPI,127,23,178158,Failed,2022-12-06 12:40:14
380,UPI,127,40,886841,Failed,2022-12-06 12:40:14
381,UPI,127,119,447243,Failed,2022-12-06 12:40:14
382,UPI,128,41,740820,Failed,2022-12-06 12:40:14
383,UPI,128,100,978921,Failed,2022-12-06 12:40:14
384,UPI,128,188,786139,Failed,2022-12-06 12:40:14
385,UPI,129,130,4083,Failed,2022-12-06 12:40:14
386,UPI,129,48,4671,Failed,2022-12-06 12:40:14
387,UPI,129,19,58281,Failed,2022-12-06 12:40:14
388,UPI,130,1,688778,Failed,2022-12-06 12:40:14
389,UPI,130,185,251023,Failed,2022-12-06 12:40:14
390,UPI,130,52,628195,Failed,2022-12-06 12:40:14
391,UPI,131,118,530749,Failed,2022-12-06 12:40:14
392,UPI,131,33,224746,Failed,2022-12-06 12:40:14
393,UPI,131,2,174499,Failed,2022-12-06 12:40:14
394,UPI,132,159,559723,Failed,2022-12-06 12:40:14
395,UPI,132,32,90808,Failed,2022-12-06 12:40:14
396,UPI,132,89,754680,Failed,2022-12-06 12:40:14
397,UPI,133,12,515109,Failed,2022-12-06 12:40:14
398,UPI,133,156,364273,Failed,2022-12-06 12:40:14
399,UPI,133,64,103293,Failed,2022-12-06 12:40:14
400,UPI,134,87,402212,Failed,2022-12-06 12:40:14
401,UPI,134,11,951632,Failed,2022-12-06 12:40:14
402,UPI,134,171,453081,Failed,2022-12-06 12:40:14
403,UPI,135,183,76605,Failed,2022-12-06 12:40:14
404,UPI,135,71,23203,Failed,2022-12-06 12:40:14
405,UPI,135,199,265574,Failed,2022-12-06 12:40:14
406,UPI,136,19,298960,Failed,2022-12-06 12:40:14
407,UPI,136,172,956050,Failed,2022-12-06 12:40:14
408,UPI,136,7,296654,Failed,2022-12-06 12:40:14
409,UPI,137,153,551160,Failed,2022-12-06 12:40:14
410,UPI,137,95,394735,Failed,2022-12-06 12:40:14
411,UPI,137,111,379847,Failed,2022-12-06 12:40:14
412,UPI,138,114,458062,Failed,2022-12-06 12:40:14
413,UPI,138,108,518763,Failed,2022-12-06 12:40:14
414,UPI,138,69,855504,Failed,2022-12-06 12:40:14
415,UPI,139,194,549759,Failed,2022-12-06 12:40:14
416,UPI,139,39,159440,Failed,2022-12-06 12:40:14
417,UPI,139,190,435379,Failed,2022-12-06 12:40:14
418,UPI,140,36,25055,Failed,2022-12-06 12:40:14
419,UPI,140,130,506758,Failed,2022-12-06 12:40:14
420,UPI,140,197,563696,Failed,2022-12-06 12:40:14
421,UPI,141,117,88382,Failed,2022-12-06 12:40:14
422,UPI,141,196,867561,Failed,2022-12-06 12:40:14
423,UPI,141,144,173248,Failed,2022-12-06 12:40:14
424,UPI,142,42,840141,Failed,2022-12-06 12:40:14
425,UPI,142,180,866104,Failed,2022-12-06 12:40:14
426,UPI,142,186,127865,Failed,2022-12-06 12:40:14
427,UPI,143,180,364451,Failed,2022-12-06 12:40:14
428,UPI,143,193,292100,Failed,2022-12-06 12:40:14
429,UPI,143,157,746967,Failed,2022-12-06 12:40:14
430,UPI,144,186,857500,Failed,2022-12-06 12:40:14
431,UPI,144,154,525914,Failed,2022-12-06 12:40:14
432,UPI,144,67,579922,Failed,2022-12-06 12:40:14
433,UPI,145,157,435374,Failed,2022-12-06 12:40:14
434,UPI,145,20,407605,Failed,2022-12-06 12:40:14
435,UPI,145,152,274441,Failed,2022-12-06 12:40:14
436,UPI,146,87,666561,Failed,2022-12-06 12:40:14
437,UPI,146,77,50632,Failed,2022-12-06 12:40:14
438,UPI,146,112,834456,Failed,2022-12-06 12:40:14
439,UPI,147,148,808273,Failed,2022-12-06 12:40:14
440,UPI,147,72,349346,Failed,2022-12-06 12:40:14
441,UPI,147,161,581296,Failed,2022-12-06 12:40:14
442,UPI,148,139,881107,Failed,2022-12-06 12:40:14
443,UPI,148,117,4623,Failed,2022-12-06 12:40:14
444,UPI,148,67,772787,Failed,2022-12-06 12:40:14
445,UPI,149,125,543934,Failed,2022-12-06 12:40:14
446,UPI,149,62,225972,Failed,2022-12-06 12:40:14
447,UPI,149,146,502615,Failed,2022-12-06 12:40:14
448,UPI,150,129,361165,Failed,2022-12-06 12:40:14
449,UPI,150,20,480534,Failed,2022-12-06 12:40:14
450,UPI,150,183,965208,Failed,2022-12-06 12:40:14
451,UPI,151,27,755136,Failed,2022-12-06 12:40:14
452,UPI,151,133,22670,Failed,2022-12-06 12:40:14
453,UPI,151,161,493911,Failed,2022-12-06 12:40:14
454,UPI,152,119,402781,Failed,2022-12-06 12:40:14
455,UPI,152,139,936135,Failed,2022-12-06 12:40:14
456,UPI,152,8,449932,Failed,2022-12-06 12:40:14
457,UPI,153,148,213368,Failed,2022-12-06 12:40:14
458,UPI,153,45,584028,Failed,2022-12-06 12:40:14
459,UPI,153,51,354790,Failed,2022-12-06 12:40:14
460,UPI,154,177,342314,Failed,2022-12-06 12:40:14
461,UPI,154,108,552007,Failed,2022-12-06 12:40:14
462,UPI,154,158,969216,Failed,2022-12-06 12:40:14
463,UPI,155,137,478694,Failed,2022-12-06 12:40:14
464,UPI,155,101,234734,Failed,2022-12-06 12:40:14
